Index,Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
90895,Variations (no. 2),Robert Barry,352.0,1977-78,Sound,"45 min.
",Art & Project/Depot VBVR Gift,442.2007,Audio,Media and Performance,2007-09-24,Y,109520,http://www.moma.org/collection/works/109520,,,,,,,,,,2700.0
96490,"Variations for Double Bass, performed by the artist at Kleines Sommerfest: Après John Cage, Galerie Parnass, Wuppertal, West Germany, June 9, 1962",Benjamin Patterson,4520.0,1962,Audio recording,,The Gilbert and Lila Silverman Fluxus Collection Gift,2665.2008,Audio,Drawings & Prints,,N,127168,,,,,,,,,,,
96495,Duo,Benjamin Patterson,4520.0,,"Performed by the artist and William Pearson at Kleinen Sommerfest/ Après John Cage, Galerie Parnass, Wuppertal, June 9, 1962 
Audio recording",,The Gilbert and Lila Silverman Fluxus Collection Gift,2654.2008,Audio,Drawings & Prints,,N,127174,,,,,,,,,,,
96643,Requiem for Wagner the Criminal Mayor,Dick Higgins,2637.0,1962,"5 reel to reel audio tapes, 2 cassette tapes and related notations",,The Gilbert and Lila Silverman Fluxus Collection Gift,2251.2008.1-3,Audio,Drawings & Prints,2008-10-08,N,127395,,,,0.0,,0.0,,,0.0,,
97246,Neo Dada in the United States,George Maciunas,21398.0,1962,Audio cassette tape,,The Gilbert and Lila Silverman Fluxus Collection Gift,2355.2008,Audio,Drawings & Prints,2008-10-08,N,128220,,,,,,,,,,,
97431,Entrance and Exit Music,George Brecht,756.0,1964,Plastic box containing open reel audio tape and offset card,"overall (sound recording): 3/8 x 2 15/16"" (1 x 7.5 cm); overall (box): 9/16 x 4 3/4 x 3 3/4"" (12 x 19.5 x 1.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2098.2008.a-c,Audio,Drawings & Prints,2008-10-08,N,128656,,,,1.5,,12.0,,,9.5,,
97439,Fluxphone,Elohim (Ely) Raman,37523.0,1969,(CONFIRM),,The Gilbert and Lila Silverman Fluxus Collection Gift,2907.2008,Audio,Drawings & Prints,2008-10-08,N,128665,,,,,,,,,,,
97930,Piano for All Senses,Nam June Paik,4469.0,,CD,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC877.1,Audio,Fluxus Collection,2008-10-08,N,130507,,,,,,,,,,,
97932,Untitled,Nam June Paik,4469.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC879,Audio,Fluxus Collection,2008-10-08,N,130509,,,,,,,,,,,
97939,Sommerfest Concert Galerie Parnass,Fluxus Collective,36649.0,"June 9, 1962",Cassette,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC886,Audio,Fluxus Collection,2008-10-08,N,130516,,,,,,,,,,,
97947,What Is the Time,Arthur Köpcke,18701.0,,CD,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC894,Audio,Fluxus Collection,2008-10-08,N,130524,,,,,,,,,,,
97949,Duo for Voice and String,Benjamin Patterson,4520.0,1962,CD,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC896.1,Audio,Fluxus Collection,2008-10-08,N,130526,,,,,,,,,,,
97960,Eine Heutliche Deutlich Sprache #2,Dick Higgins,2637.0,,Cassette,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC908,Audio,Fluxus Collection,2008-10-08,N,130538,,,,,,,,,,,
97961,Eine Heutliche Deutlich Sprache #2,Dick Higgins,2637.0,1994,cassette,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC909,Audio,Fluxus Collection,2008-10-08,N,130539,,,,,,,,,,,
97966,Cricket Music,Walter De Maria,1433.0,c. 1961,Audio cassette tape,20 min. (confirm),The Gilbert and Lila Silverman Fluxus Collection Gift,FC915,Audio,Fluxus Collection,2008-10-08,N,130545,,,,,,,,,,,
97993,Men and Women and Bells,Dick Higgins,2637.0,1970,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC945.1,Audio,Fluxus Collection,2008-10-08,N,130575,,,,,,,,,,,
98008,Eine Zweite Heutliche Deutliche Sprache,Dick Higgins,2637.0,1971,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC962,Audio,Fluxus Collection,2008-10-08,N,130592,,,,,,,,,,,
98482,"Micro. 1 (concrète with action), Micro. 2 ""Bu-ri-co"" (concrète with action), [MANODHARMA] or [MAHODHARMA] with Takeda - I (Improvisation and concrète)",Takehisa Kosugi,3227.0,,Audio cassette tape,"9/16 x 4 5/16 x 2 11/16"" (1.5 x 10.9 x 6.8 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,FC1190,Audio,Fluxus Collection,2008-10-08,N,131462,,,,6.8,,1.5,,,10.9,,
