Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate,Area (cm^2),Aspect,OilPainting,YearCreated,AspectString
0,"Rope and People, I",Joan Miró,4016.0,"Barcelona, March 27, 1935","Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)",Gift of the Pierre Matisse Gallery,71.1936,Painting,Painting & Sculpture,1936-10-16,Y,33621,,,,104.8,,,74.6,,"Spanish, 1893–1983",Spanish,male,1893.0,1983.0,7818.079999999999,0.7118320610687022,Y,1935,Portrait
1,Fire in the Evening,Paul Klee,3130.0,1929,Oil on cardboard,"13 3/8 x 13 1/4"" (33.8 x 33.3 cm)",Mr. and Mrs. Joachim Jean Aberbach Fund,153.1970,Painting,Painting & Sculpture,1970-04-08,Y,34854,,,,33.8,,,33.3,,"German, born Switzerland. 1879–1940",German,male,1879.0,1940.0,1125.5399999999997,0.985207100591716,Y,1929,Portrait
2,Portrait of an Equilibrist,Paul Klee,3130.0,1927,Oil and collage on cardboard over wood with painted plaster border,"24 7/8 x 15 3/4"" (63.2 x 40 cm)",Mrs. Simon Guggenheim Fund,195.1966,Painting,Painting & Sculpture,1966-04-12,Y,35209,,,,60.3,,,36.8,,"German, born Switzerland. 1879–1940",German,male,1879.0,1940.0,2219.0399999999995,0.6102819237147595,Y,1927,Portrait
3,Guitar,Pablo Picasso,4609.0,"Paris, early 1919","Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)",Gift of A. Conger Goodyear,384.1955,Painting,Painting & Sculpture,1955-12-28,Y,36613,,,,215.9,,,78.7,,"Spanish, 1881–1973",Spanish,male,1881.0,1973.0,16991.33,0.364520611394164,Y,1919,Portrait
4,Grandmother,Arthur Dove,1602.0,1925,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood","20 x 21 1/4"" (50.8 x 54.0 cm)",Gift of Philip L. Goodwin (by exchange),636.1939,Painting,Painting & Sculpture,1939-12-08,Y,37674,,,,50.8,,,54.0,,"American, 1880–1946",American,male,1880.0,1946.0,2743.2,1.062992125984252,N,1925,Landscape
5,"""M'Amenez-y""",Francis Picabia,4607.0,"Paris, November 1919 - January 1920",Oil and enamel paint on cardboard,"50 3/4 x 35 3/8"" (129.2 x 89.8 cm)",Helena Rubinstein Fund,1309.1968,Painting,Painting & Sculpture,1968-10-08,Y,38561,,,,129.2,,,89.9,,"French, 1879–1953",French,male,1879.0,1953.0,11615.08,0.6958204334365327,Y,1919,Portrait
6,Untitled,Blinky Palermo,4474.0,1970,Dyed cotton mounted on muslin,"6' 6 3/4"" x 6' 6 3/4"" (200 x 200 cm)",Gift of Jo Carole and Ronald S. Lauder,650.1997,Painting,Painting & Sculpture,1997-06-02,Y,78283,,,,200.0,,,200.0,,"German, 1943–1977",German,male,1943.0,1977.0,40000.0,1.0,N,1970,Square
7,Daylight Savings Time,Pierre Roy,5065.0,1929,Oil on canvas,"21 1/2 x 15"" (54.6 x 38.1 cm)",Gift of Mrs. Ray Slater Murphy,1.1931,Painting,Painting & Sculpture,1931-01-19,Y,78294,,,,54.6,,,38.1,,"French, 1880–1950",French,male,1880.0,1950.0,2080.26,0.6978021978021978,Y,1929,Portrait
8,The Bather,Paul Cézanne,1053.0,c. 1885,Oil on canvas,"50 x 38 1/8"" (127 x 96.8 cm)",Lillie P. Bliss Collection. Conservation was made possible by the Bank of America Art Conservation Project,1.1934,Painting,Painting & Sculpture,1934-09-23,Y,78296,,,,127.0,,,96.8,,"French, 1839–1906",French,male,1839.0,1906.0,12293.6,0.7622047244094488,Y,1885,Portrait
9,Syntheses of Naples,Enrico Prampolini,4720.0,before 1930,Oil on canvas,"39 3/8 x 39 1/2"" (100 x 100.3 cm)",Gift of Dr. Julius Spitzer,1.1942,Painting,Painting & Sculpture,1941-12-10,Y,78299,,,,100.0,,,100.3,,"Italian, 1894–1956",Italian,male,1894.0,1956.0,10030.0,1.003,Y,1930,Landscape
10,Two Rabbis,Jankel Adler,70.0,1942,Oil on canvas,"33 7/8 x 44 1/8"" (86 x 112.1 cm)",Gift of Sam Salz,1.1949,Painting,Painting & Sculpture,1949-02-03,Y,78301,,,,86.0,,,112.1,,"Polish, 1895–1949",Polish,male,1895.0,1949.0,9640.6,1.3034883720930233,Y,1942,Landscape
11,Simultaneous Contrasts: Sun and Moon,Robert Delaunay,1479.0,Paris 1913 (dated on painting 1912),Oil on canvas,"53"" (134.5 cm) in diameter",Mrs. Simon Guggenheim Fund,1.1954,Painting,Painting & Sculpture,1954-01-12,Y,78302,,,134.6,,,,,,"French, 1885–1941",French,male,1885.0,1941.0,,,Y,1913,
12,The Flame and the Diver,Jean Bazaine,404.0,1953,Oil on canvas,"76 3/4 x 51"" (194.9 x 129.5 cm)",Given anonymously,1.1957,Painting,Painting & Sculpture,1957-02-27,Y,78303,,,,194.9,,,129.5,,"French, 1904–2001",French,male,1904.0,2001.0,25239.55,0.6644433042585941,Y,1953,Portrait
13,Girl Wading,Elmer Bischoff,567.0,1959,Oil on canvas,"6' 10 5/8"" x 67 3/4"" (209.8 x 172 cm)",Blanchette Hooker Rockefeller Fund,1.1960,Painting,Painting & Sculpture,1960-02-10,Y,78305,,,,209.8,,,172.0,,"American, 1916–1991",American,male,1916.0,1991.0,36085.6,0.8198284080076262,Y,1959,Portrait
14,"Painting, 4",Vasudeo S. Gaitonde,2051.0,1962,Oil on canvas,"40 x 49 7/8"" (101.6 x 126.6 cm)",Gift of Mrs. Joseph James Akston,1.1963,Painting,Painting & Sculpture,1963-01-08,Y,78306,,,,101.6,,,126.6,,"Indian, 1924–2001",Indian,male,1924.0,2001.0,12862.56,1.2460629921259843,Y,1962,Landscape
15,The Voice,Barnett Newman,4285.0,1950,Egg tempera and enamel on canvas,"8' 1/8"" x 8' 9 1/2"" (244.1 x 268 cm)",The Sidney and Harriet Janis Collection,1.1968,Painting,Painting & Sculpture,1968-01-10,Y,78308,,,,244.1,,,268.0,,"American, 1905–1970",American,male,1905.0,1970.0,65418.799999999996,1.0979106923392052,N,1950,Landscape
16,Plums on a Plate,Preston Dickinson,1537.0,1926,Oil on canvas,"14 x 20"" (35.6 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,2.1931,Painting,Painting & Sculpture,1931-03-11,Y,78309,,,,35.6,,,50.8,,"American, 1889–1930",American,male,1889.0,1930.0,1808.48,1.4269662921348314,Y,1926,Landscape
17,"Composition in White, Black, and Red",Piet Mondrian,4057.0,Paris 1936,Oil on canvas,"40 1/4 x 41"" (102.2 x 104.1 cm)",Gift of the Advisory Committee,2.1937,Painting,Painting & Sculpture,1937-01-15,Y,78310,,,,102.2,,,104.1,,"Dutch, 1872–1944",Dutch,male,1872.0,1944.0,10639.02,1.0185909980430528,Y,1936,Landscape
18,Girl before a Mirror,Pablo Picasso,4609.0,"Paris, March 14, 1932",Oil on canvas,"64 x 51 1/4"" (162.3 x 130.2 cm)",Gift of Mrs. Simon Guggenheim,2.1938,Painting,Painting & Sculpture,1937-12-17,Y,78311,,,,162.3,,,130.2,,"Spanish, 1881–1973",Spanish,male,1881.0,1973.0,21131.46,0.8022181146025876,Y,1932,Portrait
19,Transparency,James Edward Davis,1408.0,1944,"Pigment on cellulose acetate on plywood panel, two sheets","Each 14 x 20 1/8"" (35.6 x 51.1 cm), plywood panel 20 x 30"" (50.8 x 76.2 cm)",Purchase,2.1945,Painting,Painting & Sculpture,1945-01-03,Y,78313,,,,35.6,,,51.1,,"American, 1901–1974",American,male,1901.0,1974.0,1819.16,1.4353932584269662,N,1944,Landscape
20,Woman with a Mandolin,Georges Braque,744.0,1937,Oil on canvas,"51 1/4 x 38 1/4"" (130.2 x 97.2 cm)",Mrs. Simon Guggenheim Fund,2.1948,Painting,Painting & Sculpture,1948-03-17,Y,78315,,,,130.2,,,97.2,,"French, 1882–1963",French,male,1882.0,1963.0,12655.439999999999,0.7465437788018434,Y,1937,Portrait
21,The Fitting,Francisco Borès,678.0,1934,Oil on canvas,"6' 3/4"" x 7' 2 3/4"" (184.8 x 220.4 cm)",Purchase,2.1949,Painting,Painting & Sculpture,1949-02-03,Y,78316,,,,184.8,,,220.4,,"Spanish, 1898–1972",Spanish,male,1898.0,1972.0,40729.920000000006,1.1926406926406925,Y,1934,Landscape
22,Murder in the Jungle,Wilson Bigaud,557.0,1950,Oil on board,"23 7/8 x 29 3/4"" (60.6 x 75.6 cm)",Inter-American Fund,2.1951,Painting,Painting & Sculpture,1951-01-30,Y,78318,,,,60.6,,,75.6,,"Haitian, 1931–2010",Haitian,male,1931.0,2010.0,4581.36,1.2475247524752473,Y,1950,Landscape
23,Chief,Franz Kline,3148.0,1950,Oil on canvas,"58 3/8"" x 6' 1 1/2"" (148.3 x 186.7 cm)",Gift of Mr. and Mrs. David M. Solinger,2.1952,Painting,Painting & Sculpture,1951-01-22,Y,78319,,,,148.3,,,186.7,,"American, 1910–1962",American,male,1910.0,1962.0,27687.61,1.2589345920431556,Y,1950,Landscape
24,Panel for Edwin R. Campbell No. 3,Vasily Kandinsky,2981.0,1914,Oil on canvas,"64 x 36 1/4"" (162.5 x 92.1 cm)",Mrs. Simon Guggenheim Fund,2.1954,Painting,Painting & Sculpture,1954-01-12,Y,78320,,,,162.5,,,92.1,,"French, born Russia. 1866–1944",French,male,1866.0,1944.0,14966.249999999998,0.5667692307692307,Y,1914,Portrait
25,Delight,Hans Hofmann,2698.0,1947,Gesso and oil on canvas,"50 x 40"" (126.9 x 101.6 cm)",Gift of Mr. and Mrs. Theodore S. Gary,2.1956,Painting,Painting & Sculpture,1956-01-23,Y,78322,,,,126.9,,,101.6,,"American, born Germany. 1880–1966",American,male,1880.0,1966.0,12893.039999999999,0.8006304176516942,Y,1947,Portrait
26,Portrait of Meijer de Haan,Paul Gauguin,2098.0,1889,Oil on wood,"31 3/8 x 20 3/8"" (79.6 x 51.7 cm)",Gift of Mr. and Mrs. David Rockefeller,2.1958,Painting,Painting & Sculpture,1958-02-19,Y,78323,,,,79.6,,,51.7,,"French, 1848–1903",French,male,1848.0,1903.0,4115.32,0.649497487437186,Y,1889,Portrait
27,Nell and Jeremy Sandford,John Randall Bratby,746.0,"June 13-27, 1957",Oil on board,"6' 5 7/8"" x 7' 8 1/8"" (197.7 x 234 cm)",Gift of Mr. and Mrs. Robert W. Dowling,2.1959,Painting,Painting & Sculpture,1959-03-02,Y,78324,,,,197.7,,,234.0,,"British, 1928–1992",British,male,1928.0,1992.0,46261.799999999996,1.1836115326251897,Y,1957,Landscape
28,Plumb Line in Yellow,Jean McEwen,3880.0,"September 9, 1961",Oil on canvas,"60 1/4 x 60 1/8"" (152.8 x 152.7 cm)",Gift of Mr. and Mrs. Samuel J. Zacks,2.1962,Painting,Painting & Sculpture,1962-01-09,Y,78325,,,,152.8,,,152.7,,"Canadian, 1923–1999",Canadian,male,1923.0,1999.0,23332.56,0.9993455497382198,Y,1961,Portrait
