Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate
1,"Rope and People, I",Joan Miró,4016.0,"Barcelona, March 27, 1935","Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)",Gift of the Pierre Matisse Gallery,71.1936,Painting,Painting & Sculpture,1936-10-16,Y,33621,,,,104.8,,,74.6,,"Spanish, 1893–1983",Spanish,Male,1893.0,1983.0
2,Fire in the Evening,Paul Klee,3130.0,1929,Oil on cardboard,"13 3/8 x 13 1/4"" (33.8 x 33.3 cm)",Mr. and Mrs. Joachim Jean Aberbach Fund,153.1970,Painting,Painting & Sculpture,1970-04-08,Y,34854,,,,33.8,,,33.3,,"German, born Switzerland. 1879–1940",German,Male,1879.0,1940.0
3,Portrait of an Equilibrist,Paul Klee,3130.0,1927,Oil and collage on cardboard over wood with painted plaster border,"24 7/8 x 15 3/4"" (63.2 x 40 cm)",Mrs. Simon Guggenheim Fund,195.1966,Painting,Painting & Sculpture,1966-04-12,Y,35209,,,,60.3,,,36.8,,"German, born Switzerland. 1879–1940",German,Male,1879.0,1940.0
4,Guitar,Pablo Picasso,4609.0,"Paris, early 1919","Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)",Gift of A. Conger Goodyear,384.1955,Painting,Painting & Sculpture,1955-12-28,Y,36613,,,,215.9,,,78.7,,"Spanish, 1881–1973",Spanish,Male,1881.0,1973.0
5,Grandmother,Arthur Dove,1602.0,1925,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood","20 x 21 1/4"" (50.8 x 54.0 cm)",Gift of Philip L. Goodwin (by exchange),636.1939,Painting,Painting & Sculpture,1939-12-08,Y,37674,,,,50.8,,,54.0,,"American, 1880–1946",American,Male,1880.0,1946.0
6,"""M'Amenez-y""",Francis Picabia,4607.0,"Paris, November 1919 - January 1920",Oil and enamel paint on cardboard,"50 3/4 x 35 3/8"" (129.2 x 89.8 cm)",Helena Rubinstein Fund,1309.1968,Painting,Painting & Sculpture,1968-10-08,Y,38561,,,,129.2,,,89.9,,"French, 1879–1953",French,Male,1879.0,1953.0
19212,Untitled,Blinky Palermo,4474.0,1970,Dyed cotton mounted on muslin,"6' 6 3/4"" x 6' 6 3/4"" (200 x 200 cm)",Gift of Jo Carole and Ronald S. Lauder,650.1997,Painting,Painting & Sculpture,1997-06-02,Y,78283,,,,200.0,,,200.0,,"German, 1943–1977",German,Male,1943.0,1977.0
19213,Daylight Savings Time,Pierre Roy,5065.0,1929,Oil on canvas,"21 1/2 x 15"" (54.6 x 38.1 cm)",Gift of Mrs. Ray Slater Murphy,1.1931,Painting,Painting & Sculpture,1931-01-19,Y,78294,,,,54.6,,,38.1,,"French, 1880–1950",French,Male,1880.0,1950.0
19214,The Bather,Paul Cézanne,1053.0,c. 1885,Oil on canvas,"50 x 38 1/8"" (127 x 96.8 cm)",Lillie P. Bliss Collection. Conservation was made possible by the Bank of America Art Conservation Project,1.1934,Painting,Painting & Sculpture,1934-09-23,Y,78296,,,,127.0,,,96.8,,"French, 1839–1906",French,Male,1839.0,1906.0
19215,Syntheses of Naples,Enrico Prampolini,4720.0,before 1930,Oil on canvas,"39 3/8 x 39 1/2"" (100 x 100.3 cm)",Gift of Dr. Julius Spitzer,1.1942,Painting,Painting & Sculpture,1941-12-10,Y,78299,,,,100.0,,,100.3,,"Italian, 1894–1956",Italian,Male,1894.0,1956.0
19216,Two Rabbis,Jankel Adler,70.0,1942,Oil on canvas,"33 7/8 x 44 1/8"" (86 x 112.1 cm)",Gift of Sam Salz,1.1949,Painting,Painting & Sculpture,1949-02-03,Y,78301,,,,86.0,,,112.1,,"Polish, 1895–1949",Polish,Male,1895.0,1949.0
