Index,Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
57681,Henry Geldzahler from The Geldzahler Portfolio,Andy Warhol,6246.0,"1964, published 1998","Video transfer (black and white, silent) from a portfolio of three lithographs, two etchings (one with aquatint), two screenprints, one digital print, one offset lithograph, one solar plate intaglio, and one video transfer",99 min.,Gift of Agnes Gund and Daniel Shapiro,76.1999.11,Video,Drawings & Prints,1999-03-04,Y,61374,http://www.moma.org/collection/works/61374,http://www.moma.org/media/W1siZiIsIjI2NTYxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e39f8e5a9b4ff10,,,,,,,,,
70753,Untitled (for Parkett no. 60),Diana Thater,8331.0,2000,Multiple of DVD,"Composition (DVD diameter): 4 13/16"" (12.3 cm)
Other (DVD box): 7 1/2 x 5 5/16 x 9/16"" (19 x 13.5 x 1.5 cm)",Virginia Cowles Schroth Fund,1135.2001,Video,Drawings & Prints,2001-01-24,Y,75761,http://www.moma.org/collection/works/75761,,,,,12.3,,,,,
80919,What You Mean We?,Laurie Anderson,6807.0,1986,"Video (color, sound)",19:51 min.,Purchase,488.1986,Video,Media and Performance,1986-11-25,Y,88831,http://www.moma.org/collection/works/88831,http://www.moma.org/media/W1siZiIsIjQwMDUxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6bd7938e2afbea87,,,,,,,,,1191.0
80920,Head,Cheryl Donegan,26542.0,1993,"Video (color, sound)",2:49 min.,Acquired through the generosity of Susan Jacoby,1316.1999,Video,Media and Performance,1999-01-28,Y,88832,http://www.moma.org/collection/works/88832,http://www.moma.org/media/W1siZiIsIjExMzQxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=43ac47a10e6c371b,,,,,,,,,0.0
80921,Three Transitions,Peter Campus,944.0,1973,"Video (color, sound)",4:53 min.,Acquired through the generosity of Barbara Pine,730.1976,Video,Media and Performance,1976-07-21,Y,88833,http://www.moma.org/collection/works/88833,http://www.moma.org/media/W1siZiIsIjEwNzU5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=20a8fd36f586f5d7,,,,,,,,,293.0
80923,URA ARU (the backside exists),Gary Hill,7416.0,1985-1986,"Video (color, sound)",28:30 min.,Acquired through the generosity of Margot and John Ernst,485.1985,Video,Media and Performance,1985-12-15,Y,88837,http://www.moma.org/collection/works/88837,http://www.moma.org/media/W1siZiIsIjE1MTU2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a411dd11a12f425b,,,,,,,,,0.0
80924,The Loner,Tony Oursler,7489.0,1980,"Video (color, sound)",30 min.,Purchase,714.1981,Video,Media and Performance,1981-11-16,Y,88838,http://www.moma.org/collection/works/88838,http://www.moma.org/media/W1siZiIsIjExMDc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=76294e82289daf50,,,,,,,,,1800.0
80925,"HIDEO, It's Me Mama",Mako Idemitsu,26369.0,1983,"Video (color, sound)",26:49 min.,Acquired through the generosity of Margot and John Ernst,560.1984,Video,Media and Performance,1984-09-03,Y,88839,http://www.moma.org/collection/works/88839,http://www.moma.org/media/W1siZiIsIjE1MTU2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=80f29922351e5abc,,,,,,,,,0.0
80926,Interregna,John Pilson,26544.0,1999-2000,"Video (color, sound)",10:30 min.,Fractional and promised gift of David Teiger,453.2002,Video,Media and Performance,,Y,88840,http://www.moma.org/collection/works/88840,,,,,,,,,,0.0
80927,Meta-Mayan II,Edin Vélez,26374.0,1981,"Video (color, sound)",20 min.,Acquired through the generosity of Mr. and Mrs. Lee Toole,722.1981,Video,Media and Performance,1981-11-16,Y,88841,http://www.moma.org/collection/works/88841,http://www.moma.org/media/W1siZiIsIjE5NDIyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=63bb1443f1f4a48e,,,,,,,,,1200.0
80928,Navigating the Void,Melinda Morey,26545.0,2002,"Video (black and white, silent)",5 min.,Purchase,469.2003,Video,Media and Performance,2003-03-19,Y,88842,http://www.moma.org/collection/works/88842,http://www.moma.org/media/W1siZiIsIjIxNTc0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=007178cd5d8310aa,,,,,,,,,300.0
80959,Cold Pieces 2,Seoungho Cho,26440.0,2002,"Video (black and white and color, silent)",5 min.,Purchase,457.2002,Video,Media and Performance,2002-07-25,Y,88934,http://www.moma.org/collection/works/88934,http://www.moma.org/media/W1siZiIsIjIxNDU1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=25f8dfa5a1db05a4,,,,,,,,,300.0
